sample_name,mgrast_id,body_habitat,body_site,sex
L2S243,mge36117,UBERON:skin,UBERON:zone of skin of hand,male
L2S244,mge36920,UBERON:skin,UBERON:zone of skin of hand,male
L2S245,mge35875,UBERON:skin,UBERON:zone of skin of hand,male
L2S247,mge36522,UBERON:skin,UBERON:zone of skin of hand,male
L2S248,mge34880,UBERON:skin,UBERON:zone of skin of hand,male
L2S249,mge36195,UBERON:skin,UBERON:zone of skin of hand,male
L2S25,mge34938,UBERON:gut,UBERON:feces,male
L2S251,mge36105,UBERON:skin,UBERON:zone of skin of hand,male
L2S253,mge36534,UBERON:skin,UBERON:zone of skin of hand,male
L2S254,mge35390,UBERON:skin,UBERON:zone of skin of hand,male
L2S256,mge34882,UBERON:skin,UBERON:zone of skin of hand,male
L2S257,mge35776,UBERON:skin,UBERON:zone of skin of hand,male
L2S259,mge35258,UBERON:skin,UBERON:zone of skin of hand,male
L2S260,mge35057,UBERON:skin,UBERON:zone of skin of hand,male
L2S261,mge36542,UBERON:skin,UBERON:zone of skin of hand,male
L2S262,mge35198,UBERON:skin,UBERON:zone of skin of hand,male
L2S263,mge36062,UBERON:skin,UBERON:zone of skin of hand,male
L2S264,mge36082,UBERON:skin,UBERON:zone of skin of hand,male
L2S265,mge35040,UBERON:skin,UBERON:zone of skin of hand,male
L2S268,mge36440,UBERON:skin,UBERON:zone of skin of hand,male
L2S269,mge35475,UBERON:skin,UBERON:zone of skin of hand,male
L2S270,mge35756,UBERON:skin,UBERON:zone of skin of hand,male
L2S271,mge35892,UBERON:skin,UBERON:zone of skin of hand,male
L2S272,mge34989,UBERON:skin,UBERON:zone of skin of hand,male
L2S273,mge35599,UBERON:skin,UBERON:zone of skin of hand,male
L2S275,mge35024,UBERON:skin,UBERON:zone of skin of hand,male
L2S276,mge35729,UBERON:skin,UBERON:zone of skin of hand,male
L2S277,mge36134,UBERON:skin,UBERON:zone of skin of hand,male
L2S278,mge36450,UBERON:skin,UBERON:zone of skin of hand,male
L2S279,mge36933,UBERON:skin,UBERON:zone of skin of hand,male
L2S28,mge35344,UBERON:gut,UBERON:feces,male
L2S280,mge36036,UBERON:skin,UBERON:zone of skin of hand,male
L2S281,mge36187,UBERON:skin,UBERON:zone of skin of hand,male
L2S283,mge36927,UBERON:skin,UBERON:zone of skin of hand,male
L2S285,mge36762,UBERON:skin,UBERON:zone of skin of hand,male
L2S286,mge35359,UBERON:skin,UBERON:zone of skin of hand,male
L2S287,mge36090,UBERON:skin,UBERON:zone of skin of hand,male
L2S289,mge34987,UBERON:skin,UBERON:zone of skin of hand,male
L2S29,mge36032,UBERON:gut,UBERON:feces,male
L2S290,mge35682,UBERON:skin,UBERON:zone of skin of hand,male
L2S291,mge35111,UBERON:skin,UBERON:zone of skin of hand,male
L2S292,mge35713,UBERON:skin,UBERON:zone of skin of hand,male
L2S296,mge35131,UBERON:skin,UBERON:zone of skin of hand,male
L2S297,mge35633,UBERON:skin,UBERON:zone of skin of hand,male
L2S298,mge35917,UBERON:skin,UBERON:zone of skin of hand,male
L2S299,mge36076,UBERON:skin,UBERON:zone of skin of hand,male
L2S3,mge36745,UBERON:gut,UBERON:feces,male
L2S30,mge35028,UBERON:gut,UBERON:feces,male
L2S300,mge35718,UBERON:skin,UBERON:zone of skin of hand,male
L2S301,mge35178,UBERON:skin,UBERON:zone of skin of hand,male
L2S302,mge35238,UBERON:skin,UBERON:zone of skin of hand,male
L2S303,mge34970,UBERON:skin,UBERON:zone of skin of hand,male
L2S307,mge36140,UBERON:skin,UBERON:zone of skin of hand,male
L2S309,mge34995,UBERON:skin,UBERON:zone of skin of hand,male
L2S31,mge36841,UBERON:gut,UBERON:feces,male
L2S311,mge35191,UBERON:skin,UBERON:zone of skin of hand,male
L2S313,mge36326,UBERON:skin,UBERON:zone of skin of hand,male
L2S314,mge36065,UBERON:skin,UBERON:zone of skin of hand,male
L2S315,mge35745,UBERON:skin,UBERON:zone of skin of hand,male
L2S318,mge34998,UBERON:skin,UBERON:zone of skin of hand,male
L2S319,mge35209,UBERON:skin,UBERON:zone of skin of hand,male
L2S32,mge35748,UBERON:gut,UBERON:feces,male
L2S321,mge36040,UBERON:skin,UBERON:zone of skin of hand,male
L2S322,mge35325,UBERON:skin,UBERON:zone of skin of hand,male
L2S325,mge36298,UBERON:skin,UBERON:zone of skin of hand,male
L2S326,mge36683,UBERON:skin,UBERON:zone of skin of hand,male
L2S327,mge35818,UBERON:skin,UBERON:zone of skin of hand,male
L2S328,mge35117,UBERON:skin,UBERON:zone of skin of hand,male
L2S329,mge35830,UBERON:skin,UBERON:zone of skin of hand,male
L2S33,mge35061,UBERON:gut,UBERON:feces,male
L2S330,mge36464,UBERON:skin,UBERON:zone of skin of hand,male
L2S331,mge35789,UBERON:skin,UBERON:zone of skin of hand,male
L2S332,mge34903,UBERON:skin,UBERON:zone of skin of hand,male
L2S333,mge35189,UBERON:skin,UBERON:zone of skin of hand,male
L2S334,mge35799,UBERON:skin,UBERON:zone of skin of hand,male
L2S335,mge35213,UBERON:skin,UBERON:zone of skin of hand,male
L2S338,mge35593,UBERON:skin,UBERON:zone of skin of hand,male
L2S34,mge35798,UBERON:gut,UBERON:feces,male
L2S340,mge35589,UBERON:skin,UBERON:zone of skin of hand,male
L2S343,mge35851,UBERON:skin,UBERON:zone of skin of hand,male
L2S344,mge36755,UBERON:skin,UBERON:zone of skin of hand,male
L2S348,mge36447,UBERON:skin,UBERON:zone of skin of hand,male
L2S349,mge35688,UBERON:skin,UBERON:zone of skin of hand,male
L2S350,mge36239,UBERON:skin,UBERON:zone of skin of hand,male
L2S351,mge35032,UBERON:skin,UBERON:zone of skin of hand,male
L2S352,mge35644,UBERON:skin,UBERON:zone of skin of hand,male
L2S353,mge35217,UBERON:skin,UBERON:zone of skin of hand,male
L2S354,mge34941,UBERON:skin,UBERON:zone of skin of hand,male
L2S356,mge36116,UBERON:skin,UBERON:zone of skin of hand,male
L2S357,mge36758,UBERON:skin,UBERON:zone of skin of hand,male
L2S358,mge35118,UBERON:skin,UBERON:zone of skin of hand,male
L2S359,mge36348,UBERON:skin,UBERON:zone of skin of hand,male
L2S36,mge35367,UBERON:gut,UBERON:feces,male
L2S360,mge34940,UBERON:skin,UBERON:zone of skin of hand,male
L2S361,mge36190,UBERON:skin,UBERON:zone of skin of hand,male
L2S362,mge35896,UBERON:skin,UBERON:zone of skin of hand,male
L2S363,mge36768,UBERON:skin,UBERON:zone of skin of hand,male
L2S364,mge35455,UBERON:skin,UBERON:zone of skin of hand,male
L2S365,mge34904,UBERON:skin,UBERON:zone of skin of hand,male
L2S366,mge35572,UBERON:skin,UBERON:zone of skin of hand,male
L2S368,mge35338,UBERON:skin,UBERON:zone of skin of hand,male
L2S370,mge36313,UBERON:skin,UBERON:zone of skin of hand,male
L2S371,mge35753,UBERON:skin,UBERON:zone of skin of hand,male
L2S372,mge35021,UBERON:skin,UBERON:zone of skin of hand,male
L2S373,mge35716,UBERON:skin,UBERON:zone of skin of hand,male
L2S374,mge35207,UBERON:skin,UBERON:zone of skin of hand,male
L2S378,mge36746,UBERON:skin,UBERON:zone of skin of hand,male
L2S38,mge35208,UBERON:gut,UBERON:feces,male
L2S380,mge34894,UBERON:skin,UBERON:zone of skin of hand,male
L2S381,mge36751,UBERON:skin,UBERON:zone of skin of hand,male
L2S382,mge34977,UBERON:skin,UBERON:zone of skin of hand,male
L2S383,mge35801,UBERON:skin,UBERON:zone of skin of hand,male
L2S39,mge35356,UBERON:gut,UBERON:feces,male
L2S4,mge35171,UBERON:gut,UBERON:feces,male
L2S40,mge35400,UBERON:gut,UBERON:feces,male
L2S41,mge35232,UBERON:gut,UBERON:feces,male
L2S43,mge35585,UBERON:gut,UBERON:feces,male
L2S44,mge36929,UBERON:gut,UBERON:feces,male
L2S45,mge36310,UBERON:gut,UBERON:feces,male
L2S46,mge35456,UBERON:gut,UBERON:feces,male
L2S47,mge36925,UBERON:gut,UBERON:feces,male
L2S48,mge35031,UBERON:gut,UBERON:feces,male
L2S49,mge36044,UBERON:gut,UBERON:feces,male
L2S5,mge35915,UBERON:gut,UBERON:feces,male
L2S50,mge35113,UBERON:gut,UBERON:feces,male
L2S51,mge36077,UBERON:gut,UBERON:feces,male
L2S52,mge35385,UBERON:gut,UBERON:feces,male
L2S53,mge36769,UBERON:gut,UBERON:feces,male
L2S54,mge35095,UBERON:gut,UBERON:feces,male
L2S57,mge35857,UBERON:gut,UBERON:feces,male
L2S58,mge36836,UBERON:gut,UBERON:feces,male
L2S59,mge36211,UBERON:gut,UBERON:feces,male
L2S6,mge35205,UBERON:gut,UBERON:feces,male
L2S60,mge35821,UBERON:gut,UBERON:feces,male
L2S61,mge35058,UBERON:gut,UBERON:feces,male
L2S62,mge35649,UBERON:gut,UBERON:feces,male
L2S63,mge35174,UBERON:gut,UBERON:feces,male
L2S64,mge35681,UBERON:gut,UBERON:feces,male
L2S66,mge35727,UBERON:gut,UBERON:feces,male
L2S68,mge36451,UBERON:gut,UBERON:feces,male
L2S70,mge35253,UBERON:gut,UBERON:feces,male
L2S71,mge35900,UBERON:gut,UBERON:feces,male
L2S72,mge35691,UBERON:gut,UBERON:feces,male
L2S76,mge36196,UBERON:gut,UBERON:feces,male
L2S77,mge35670,UBERON:gut,UBERON:feces,male
L2S81,mge35231,UBERON:gut,UBERON:feces,male
L2S83,mge35730,UBERON:gut,UBERON:feces,male
L2S84,mge35086,UBERON:gut,UBERON:feces,male
L2S87,mge35841,UBERON:gut,UBERON:feces,male
L2S88,mge36547,UBERON:gut,UBERON:feces,male
L2S89,mge34911,UBERON:gut,UBERON:feces,male
L2S90,mge35409,UBERON:gut,UBERON:feces,male
L2S91,mge36230,UBERON:gut,UBERON:feces,male
L2S92,mge36337,UBERON:gut,UBERON:feces,male
L2S93,mge36887,UBERON:gut,UBERON:feces,male
L2S95,mge36283,UBERON:gut,UBERON:feces,male
L2S98,mge35449,UBERON:skin,UBERON:zone of skin of hand,female
L2S99,mge36107,UBERON:skin,UBERON:zone of skin of hand,female
L3S100,mge35129,UBERON:skin,UBERON:zone of skin of hand,male
L3S103,mge35319,UBERON:skin,UBERON:zone of skin of hand,male
L3S104,mge35187,UBERON:skin,UBERON:zone of skin of hand,male
L3S106,mge35921,UBERON:skin,UBERON:zone of skin of hand,male
L3S107,mge35647,UBERON:skin,UBERON:zone of skin of hand,male
L3S110,mge36060,UBERON:skin,UBERON:zone of skin of hand,male
L3S112,mge34877,UBERON:skin,UBERON:zone of skin of hand,male
L3S114,mge36558,UBERON:skin,UBERON:zone of skin of hand,male
L3S115,mge35873,UBERON:skin,UBERON:zone of skin of hand,male
L3S116,mge36163,UBERON:skin,UBERON:zone of skin of hand,male
L3S117,mge35413,UBERON:skin,UBERON:zone of skin of hand,male
L3S119,mge36930,UBERON:skin,UBERON:zone of skin of hand,male
L3S12,mge36265,UBERON:skin,UBERON:zone of skin of hand,male
L3S120,mge35779,UBERON:skin,UBERON:zone of skin of hand,male
L3S121,mge35230,UBERON:skin,UBERON:zone of skin of hand,male
L3S122,mge35629,UBERON:skin,UBERON:zone of skin of hand,male
L3S124,mge34924,UBERON:skin,UBERON:zone of skin of hand,male
L3S125,mge36294,UBERON:skin,UBERON:zone of skin of hand,male
L3S126,mge35884,UBERON:skin,UBERON:zone of skin of hand,male
L3S127,mge36254,UBERON:skin,UBERON:zone of skin of hand,male
L3S129,mge36229,UBERON:skin,UBERON:zone of skin of hand,male
L3S13,mge36155,UBERON:skin,UBERON:zone of skin of hand,male
L3S130,mge35417,UBERON:skin,UBERON:zone of skin of hand,male
L3S133,mge35770,UBERON:skin,UBERON:zone of skin of hand,male
L3S134,mge34870,UBERON:skin,UBERON:zone of skin of hand,male
L3S135,mge36131,UBERON:skin,UBERON:zone of skin of hand,male
L3S136,mge35424,UBERON:skin,UBERON:zone of skin of hand,male
L3S137,mge36296,UBERON:skin,UBERON:zone of skin of hand,male
L3S139,mge35582,UBERON:skin,UBERON:zone of skin of hand,male
L3S14,mge35728,UBERON:skin,UBERON:zone of skin of hand,male
L3S140,mge36349,UBERON:skin,UBERON:zone of skin of hand,male
L3S145,mge35768,UBERON:skin,UBERON:zone of skin of hand,male
L3S146,mge34888,UBERON:skin,UBERON:zone of skin of hand,male
L3S147,mge36492,UBERON:skin,UBERON:zone of skin of hand,male
L3S148,mge35827,UBERON:skin,UBERON:zone of skin of hand,male
L3S149,mge36563,UBERON:skin,UBERON:zone of skin of hand,male
L3S15,mge36544,UBERON:skin,UBERON:zone of skin of hand,male
L3S151,mge35815,UBERON:skin,UBERON:zone of skin of hand,male
L3S158,mge35038,UBERON:skin,UBERON:zone of skin of hand,male
L3S159,mge36381,UBERON:skin,UBERON:zone of skin of hand,male
L3S16,mge35083,UBERON:skin,UBERON:zone of skin of hand,male
L3S161,mge35639,UBERON:skin,UBERON:zone of skin of hand,male
L3S162,mge35015,UBERON:skin,UBERON:zone of skin of hand,male
L3S164,mge35616,UBERON:skin,UBERON:zone of skin of hand,male
L3S166,mge35911,UBERON:skin,UBERON:zone of skin of hand,male
L3S17,mge35749,UBERON:skin,UBERON:zone of skin of hand,male
L3S171,mge35221,UBERON:skin,UBERON:zone of skin of hand,male
L3S172,mge36031,UBERON:skin,UBERON:zone of skin of hand,male
L3S173,mge35180,UBERON:skin,UBERON:zone of skin of hand,male
L3S175,mge36879,UBERON:skin,UBERON:zone of skin of hand,male
L3S176,mge36249,UBERON:skin,UBERON:zone of skin of hand,male
L3S178,mge35641,UBERON:skin,UBERON:zone of skin of hand,male
L3S179,mge35732,UBERON:skin,UBERON:zone of skin of hand,male
L3S18,mge35079,UBERON:skin,UBERON:zone of skin of hand,male
L3S185,mge36250,UBERON:skin,UBERON:zone of skin of hand,male
L3S186,mge35590,UBERON:skin,UBERON:zone of skin of hand,male
L3S187,mge36049,UBERON:skin,UBERON:zone of skin of hand,male
L3S188,mge35426,UBERON:skin,UBERON:zone of skin of hand,male
L3S19,mge34915,UBERON:skin,UBERON:zone of skin of hand,male
L3S190,mge36177,UBERON:skin,UBERON:zone of skin of hand,male
L3S193,mge36130,UBERON:skin,UBERON:zone of skin of hand,male
L3S194,mge36760,UBERON:skin,UBERON:zone of skin of hand,male
L3S195,mge36274,UBERON:skin,UBERON:zone of skin of hand,male
L3S196,mge35617,UBERON:skin,UBERON:zone of skin of hand,male
L3S197,mge35026,UBERON:skin,UBERON:zone of skin of hand,male
L3S199,mge35592,UBERON:skin,UBERON:zone of skin of hand,male
L3S20,mge36264,UBERON:skin,UBERON:zone of skin of hand,male
L3S202,mge36160,UBERON:skin,UBERON:zone of skin of hand,male
L3S205,mge35820,UBERON:skin,UBERON:zone of skin of hand,male
L3S207,mge36291,UBERON:skin,UBERON:zone of skin of hand,male
L3S209,mge35415,UBERON:skin,UBERON:zone of skin of hand,male
L3S210,mge35252,UBERON:skin,UBERON:zone of skin of hand,male
L3S212,mge35868,UBERON:skin,UBERON:zone of skin of hand,male
L3S213,mge35109,UBERON:skin,UBERON:zone of skin of hand,male
L3S215,mge36552,UBERON:skin,UBERON:zone of skin of hand,male
L3S218,mge35832,UBERON:skin,UBERON:zone of skin of hand,male
L3S219,mge35361,UBERON:skin,UBERON:zone of skin of hand,male
L3S220,mge34933,UBERON:skin,UBERON:zone of skin of hand,male
L3S221,mge36157,UBERON:skin,UBERON:zone of skin of hand,male
L3S223,mge35467,UBERON:skin,UBERON:zone of skin of hand,male
L3S224,mge35627,UBERON:skin,UBERON:zone of skin of hand,male
L3S225,mge35347,UBERON:skin,UBERON:zone of skin of hand,male
L3S226,mge36383,UBERON:skin,UBERON:zone of skin of hand,male
L3S227,mge36839,UBERON:skin,UBERON:zone of skin of hand,male
L3S23,mge36199,UBERON:skin,UBERON:zone of skin of hand,male
L3S231,mge35328,UBERON:skin,UBERON:zone of skin of hand,male
L3S232,mge35342,UBERON:skin,UBERON:zone of skin of hand,male
L3S233,mge35163,UBERON:skin,UBERON:zone of skin of hand,male
L3S234,mge35856,UBERON:skin,UBERON:zone of skin of hand,male
L3S235,mge35606,UBERON:skin,UBERON:zone of skin of hand,female
L3S237,mge36894,UBERON:skin,UBERON:zone of skin of hand,female
L3S238,mge34990,UBERON:skin,UBERON:zone of skin of hand,female
L3S24,mge36251,UBERON:skin,UBERON:zone of skin of hand,male
L3S241,mge35075,UBERON:skin,UBERON:zone of skin of hand,female
L3S245,mge34931,UBERON:skin,UBERON:zone of skin of hand,female
L3S246,mge35717,UBERON:skin,UBERON:zone of skin of hand,female
L3S247,mge36537,UBERON:skin,UBERON:zone of skin of hand,female
L3S248,mge35248,UBERON:skin,UBERON:zone of skin of hand,female
L3S249,mge36102,UBERON:skin,UBERON:zone of skin of hand,female
L3S25,mge35224,UBERON:skin,UBERON:zone of skin of hand,male
L3S250,mge36373,UBERON:skin,UBERON:zone of skin of hand,female
L3S251,mge35719,UBERON:skin,UBERON:zone of skin of hand,female
L3S252,mge36133,UBERON:skin,UBERON:zone of skin of hand,female
L3S253,mge36838,UBERON:skin,UBERON:zone of skin of hand,female
L3S255,mge35648,UBERON:skin,UBERON:zone of skin of hand,female
L3S256,mge35388,UBERON:skin,UBERON:zone of skin of hand,female
L3S259,mge35864,UBERON:skin,UBERON:zone of skin of hand,female
L3S26,mge35384,UBERON:skin,UBERON:zone of skin of hand,male
L3S260,mge36145,UBERON:skin,UBERON:zone of skin of hand,female
L3S261,mge34927,UBERON:skin,UBERON:zone of skin of hand,female
L3S263,mge35239,UBERON:skin,UBERON:zone of skin of hand,female
L3S265,mge35578,UBERON:skin,UBERON:zone of skin of hand,female
L3S266,mge36245,UBERON:skin,UBERON:zone of skin of hand,female
L3S268,mge36091,UBERON:skin,UBERON:zone of skin of hand,female
L3S269,mge35710,UBERON:skin,UBERON:zone of skin of hand,female
L3S27,mge35603,UBERON:skin,UBERON:zone of skin of hand,male
L3S271,mge36167,UBERON:skin,UBERON:zone of skin of hand,female
L3S272,mge36379,UBERON:skin,UBERON:zone of skin of hand,female
L3S275,mge36764,UBERON:skin,UBERON:zone of skin of hand,female
L3S276,mge35247,UBERON:skin,UBERON:zone of skin of hand,female
L3S277,mge36460,UBERON:skin,UBERON:zone of skin of hand,female
L3S278,mge35059,UBERON:skin,UBERON:zone of skin of hand,female
L3S280,mge35576,UBERON:skin,UBERON:zone of skin of hand,female
L3S283,mge34936,UBERON:skin,UBERON:zone of skin of hand,female
L3S284,mge36129,UBERON:skin,UBERON:zone of skin of hand,female
L3S285,mge36868,UBERON:skin,UBERON:zone of skin of hand,female
L3S287,mge35867,UBERON:skin,UBERON:zone of skin of hand,female
L3S290,mge35025,UBERON:skin,UBERON:zone of skin of hand,female
L3S292,mge34983,UBERON:skin,UBERON:zone of skin of hand,female
L3S293,mge36226,UBERON:skin,UBERON:zone of skin of hand,female
L3S294,mge36178,UBERON:skin,UBERON:zone of skin of hand,female
L3S295,mge36916,UBERON:skin,UBERON:zone of skin of hand,female
L3S298,mge36171,UBERON:skin,UBERON:zone of skin of hand,female
L3S299,mge36189,UBERON:skin,UBERON:zone of skin of hand,female
L3S301,mge35314,UBERON:skin,UBERON:zone of skin of hand,female
L3S302,mge35584,UBERON:skin,UBERON:zone of skin of hand,female
L3S303,mge35427,UBERON:skin,UBERON:zone of skin of hand,female
L3S305,mge35351,UBERON:skin,UBERON:zone of skin of hand,female
L3S306,mge35630,UBERON:skin,UBERON:zone of skin of hand,female
L3S307,mge35229,UBERON:skin,UBERON:zone of skin of hand,female
L3S308,mge36300,UBERON:skin,UBERON:zone of skin of hand,female
L3S309,mge35767,UBERON:skin,UBERON:zone of skin of hand,female
L3S31,mge36922,UBERON:skin,UBERON:zone of skin of hand,male
L3S310,mge36454,UBERON:skin,UBERON:zone of skin of hand,female
L3S311,mge36043,UBERON:skin,UBERON:zone of skin of hand,female
L3S312,mge35376,UBERON:skin,UBERON:zone of skin of hand,female
L3S313,mge36126,UBERON:skin,UBERON:zone of skin of hand,female
L3S314,mge35407,UBERON:skin,UBERON:zone of skin of hand,female
L3S315,mge36317,UBERON:skin,UBERON:zone of skin of hand,female
L3S318,mge35794,UBERON:skin,UBERON:zone of skin of hand,female
L3S32,mge35226,UBERON:skin,UBERON:zone of skin of hand,male
L3S321,mge35372,UBERON:skin,UBERON:zone of skin of hand,female
L3S323,mge35430,UBERON:skin,UBERON:zone of skin of hand,female
L3S324,mge35646,UBERON:skin,UBERON:zone of skin of hand,female
L3S325,mge36220,UBERON:skin,UBERON:zone of skin of hand,female
L3S327,mge36566,UBERON:skin,UBERON:zone of skin of hand,female
L3S329,mge36878,UBERON:skin,UBERON:zone of skin of hand,female
L3S33,mge35587,UBERON:skin,UBERON:zone of skin of hand,male
L3S330,mge35692,UBERON:skin,UBERON:zone of skin of hand,female
L3S332,mge35054,UBERON:skin,UBERON:zone of skin of hand,female
L3S333,mge35723,UBERON:skin,UBERON:zone of skin of hand,female
L3S335,mge34950,UBERON:skin,UBERON:zone of skin of hand,female
L3S336,mge34909,UBERON:skin,UBERON:zone of skin of hand,female
L3S338,mge36826,UBERON:skin,UBERON:zone of skin of hand,female
L3S34,mge36338,UBERON:skin,UBERON:zone of skin of hand,male
L3S340,mge36203,UBERON:skin,UBERON:zone of skin of hand,female
L3S341,mge36776,UBERON:skin,UBERON:zone of skin of hand,female
L3S343,mge36485,UBERON:skin,UBERON:zone of skin of hand,female
L3S345,mge35246,UBERON:skin,UBERON:zone of skin of hand,female
L3S346,mge35843,UBERON:skin,UBERON:zone of skin of hand,female
L3S347,mge35119,UBERON:skin,UBERON:zone of skin of hand,female
L3S348,mge34905,UBERON:skin,UBERON:zone of skin of hand,female
